mode;RMSE_N_m;RMSE_E_m;RMSE_D_m;RMSE_3D_m
INS;459.79481544164173;216.9034661719774;448.93407759361986;678.2331398341324
INS+EKF;0.6294150096968404;1.0849571342710485;0.6639017533513708;1.4191760904624708
