mode;RMSE_N_m;RMSE_E_m;RMSE_D_m;RMSE_3D_m
INS;459.79481544164173;216.9034661719774;448.93407759361986;678.2331398341324
INS+EKF;1.0259136067235544;1.410912009527851;0.7115982599318139;1.8840232245459279
