mode;RMSE_N_m;RMSE_E_m;RMSE_D_m;RMSE_3D_m
INS;285.1084736137364;200.80910010888957;796.5379699570334;869.5308355637356
INS+EKF;0.5131029636480642;0.4423154606712058;1.7254973571277752;1.8537148506467074
